Question,Solution,Verdict,Memory,Grade,Errors,B,EC,E,BC,ED
q2,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s20,wrong answer,0.0M,7,1,7.64,8.32,10.76,6.68,21.92
q2,s21,wrong answer,0.0M,7,1,7.2,8.04,10.08,6.4,14.36
q2,s22,wrong answer,0.0M,8,1,5.2,6.4,7.84,4.8,3.68
q2,s23,wrong answer,0.0M,6,1,4.6,6.16,7.2,4.48,0.2
q2,s24,wrong answer,0.0M,6,1,4.16,5.56,6.8,3.4,0
q2,s25,wrong answer,0.0M,6,1,3.96,5.04,6.28,3.36,0
q2,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s4,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s5,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s7,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s8,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q2,s9,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s1,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s10,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s11,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s12,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s13,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s14,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s15,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s16,wrong answer,0.0M,5,1,8.5,11.357142857142858,8.428571428571429,11.571428571428571,2.7142857142857144
q3,s17,wrong answer,0.0M,5,1,7.32,12.36,9.28,9.56,0.28
q3,s18,wrong answer,0.0M,5,1,4.36,6.8,5.96,5.04,0
q3,s19,wrong answer,0.0M,6,1,4.36,6.56,5.88,4.96,0
q3,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s20,wrong answer,0.0M,6,1,4.32,6.08,5.8,4.8,0
q3,s21,wrong answer,0.0M,7,1,4.28,5.8,5.72,4.68,0
q3,s22,wrong answer,0.0M,7,1,3.36,4.56,4.56,3.68,0
q3,s23,wrong answer,0.0M,7,1,2.88,4.28,4.2,3.32,0
q3,s24,wrong answer,0.0M,8,1,2.48,3.88,3.68,3.04,0
q3,s25,wrong answer,0.0M,8,1,1.6,2.6,2.52,1.96,0
q3,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s4,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s5,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s7,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s8,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q3,s9,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s1,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s10,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s11,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s12,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s13,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s14,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s15,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s16,wrong answer,0.0M,5,1,15.333333333333334,30.0,20.733333333333334,20.466666666666665,75.06666666666666
q4,s17,wrong answer,0.0M,5,1,12.4,18.24,14.28,15.28,36.28
q4,s18,wrong answer,0.0M,5,1,12.12,17.44,14.2,14.32,19.84
q4,s19,wrong answer,0.0M,6,1,11.64,16.2,13.52,13.72,11.2
q4,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s20,wrong answer,0.0M,6,1,10.36,14.04,11.92,11.76,4.88
q4,s21,wrong answer,0.0M,7,1,10.36,14.04,11.92,11.6,4.28
q4,s22,wrong answer,0.0M,7,1,10.24,12.92,11.04,11.52,3.04
q4,s23,wrong answer,0.0M,7,1,6.04,6.56,6.28,6.08,1.48
q4,s24,wrong answer,0.0M,8,1,5.96,6.52,6.28,6.0,1.36
q4,s25,wrong answer,0.0M,8,1,5.84,6.36,6.12,5.92,1.16
q4,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s4,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s5,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s7,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s8,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q4,s9,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s1,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s10,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s11,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s12,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s13,accepted,0.0M,7,3,0.0,0.0,0.0,0.0,0.0
q5,s14,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s15,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s16,wrong answer,0.0M,5,1,25.928571428571427,61.214285714285715,36.92857142857143,57.92857142857143,48.714285714285715
q5,s17,wrong answer,0.0M,5,1,14.12,28.28,21.52,21.08,18.32
q5,s18,wrong answer,0.0M,5,1,13.72,26.68,20.24,17.36,12.36
q5,s19,wrong answer,0.0M,4,3,13.72,24.36,20.24,17.36,6.24
q5,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s20,wrong answer,0.0M,6,1,12.28,19.0,15.32,15.08,5.0
q5,s21,wrong answer,0.0M,7,1,6.08,11.28,9.08,6.4,4.16
q5,s22,wrong answer,0.0M,7,1,5.12,7.56,6.04,4.48,3.4
q5,s23,wrong answer,0.0M,7,1,3.56,4.12,3.8,2.88,1.8
q5,s24,wrong answer,0.0M,8,1,3.32,3.32,3.0,2.24,1.16
q5,s25,wrong answer,0.0M,6,3,2.24,2.48,2.24,1.76,0.36
q5,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s4,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s5,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s7,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s8,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q5,s9,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s1,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s10,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s11,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s12,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s13,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s14,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s15,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s16,wrong answer,0.0M,5,1,25.5,34.142857142857146,22.357142857142858,45.785714285714285,39.642857142857146
q6,s17,wrong answer,0.0M,5,1,15.92,9.64,7.56,22.04,1.68
q6,s18,wrong answer,0.0M,5,1,12.16,7.96,6.32,16.2,0.28
q6,s19,wrong answer,0.0M,6,1,12.16,7.96,6.32,16.2,0
q6,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s20,wrong answer,0.0M,6,1,11.88,7.92,6.32,14.44,0
q6,s21,wrong answer,0.0M,7,1,8.4,6.92,5.36,10.76,0
q6,s22,wrong answer,0.0M,7,1,6.84,6.08,4.32,8.52,0
q6,s23,wrong answer,0.0M,6,2,6.4,5.64,4.04,7.72,0
q6,s24,wrong answer,0.0M,8,1,5.68,5.64,3.76,7.16,0
q6,s25,wrong answer,0.0M,8,1,5.08,5.0,3.56,6.04,0
q6,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s4,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q6,s5,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q6,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q6,s7,accepted,0.0M,7,3,0.0,0.0,0.0,0.0,0.0
q6,s8,accepted,0.0M,7,3,0.0,0.0,0.0,0.0,0.0
q6,s9,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s1,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s10,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s11,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s12,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s13,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s14,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s15,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s16,wrong answer,0.0M,5,1,35.642857142857146,74.85714285714286,45.285714285714285,52.07142857142857,428.92857142857144
q7,s17,wrong answer,0.0M,5,1,91.72,256.68,130.52,242.2,940.88
q7,s18,wrong answer,0.0M,5,1,82.04,224.8,116.28,208.28,865.64
q7,s19,wrong answer,0.0M,6,1,64.12,186.68,88.56,183.4,847.48
q7,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s20,wrong answer,0.0M,6,1,39.08,153.76,57.28,156.88,837.12
q7,s21,wrong answer,0.0M,7,1,31.48,67.0,33.32,72.48,522.2
q7,s22,wrong answer,0.0M,7,1,9.48,16.28,12.76,17.12,161.4
q7,s23,wrong answer,0.0M,7,1,9.48,16.28,12.76,17.12,161.4
q7,s24,wrong answer,0.0M,8,1,8.72,13.92,10.8,13.36,104.04
q7,s25,wrong answer,0.0M,8,1,8.24,13.48,10.32,12.84,87.48
q7,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s4,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s5,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s7,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s8,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q7,s9,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s1,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s10,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s11,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q8,s12,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q8,s13,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q8,s14,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q8,s15,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q8,s16,wrong answer,0.0M,4,2,30.571428571428573,102.57142857142857,47.714285714285715,68.21428571428571,62.57142857142857
q8,s17,wrong answer,0.0M,4,2,14.28,38.8,21.36,21.64,5.84
q8,s18,wrong answer,0.0M,4,2,8.92,21.6,14.6,17.84,1.72
q8,s19,wrong answer,0.0M,6,1,8.88,18.44,14.6,15.92,1.52
q8,s2,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s20,wrong answer,0.0M,6,1,7.68,13.2,12.48,11.56,1.32
q8,s21,wrong answer,0.0M,7,1,4.84,7.32,8.68,4.72,0.56
q8,s22,wrong answer,0.0M,7,1,4.04,6.12,7.0,3.96,0.4
q8,s23,wrong answer,0.0M,7,1,4.04,6.12,7.0,3.96,0.4
q8,s24,wrong answer,0.0M,8,1,3.72,5.72,6.56,3.72,0.2
q8,s25,wrong answer,0.0M,8,1,3.36,5.12,5.8,3.16,0.08
q8,s3,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s4,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s5,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s6,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s7,accepted,0.0M,9,1,0.0,0.0,0.0,0.0,0.0
q8,s8,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
q8,s9,accepted,0.0M,8,2,0.0,0.0,0.0,0.0,0.0
